"Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Sprint","Labels","Labels","Labels"
"Epic","PLT — Platform","The repository, the schema, the chain, the checks, and the design foundations","Platform","","","","platform","",""
"Epic","LNG — Languages","Two languages, both directions, in resource files","Languages","","","","languages","",""
"Epic","IDN — Identity","Sign-in, users, roles, throttling, passwords, sessions","Identity","","","","identity","",""
"Epic","CUS — Customers","The customer record, contacts, search, identity resolution","Customers","","","","customers","",""
"Epic","TCK — Tickets","The ticket, the queue, the state machine, categories, search","Tickets","","","","tickets","",""
"Epic","CNV — Conversation","Replies, internal notes, the timeline","Conversation","","","","conversation","",""
"Epic","SLA — Service levels","The promise about time, pauses, breaches, escalation","Service levels","","","","service-levels","",""
"Epic","NTF — Notifications","Telling somebody that something happened","Notifications","","","","notifications","",""
"Epic","CHN — Channels","How a request enters the system from outside — an API seam, not a screen","Channels","","","","channels","",""
"Epic","POR — Portal","The customer-facing surface","Portal","","","","portal","",""
"Epic","RPT — Reports","Numbers an admin can act on","Reports","","","","reports","",""
"Epic","AUD — Audit","The record of every change","Audit","","","","audit","",""
"Epic","KB — Knowledge base","Articles, published, versioned and searched","Knowledge base","","","","knowledge-base","",""
"Epic","SAT — Satisfaction","Ratings, and the number they add up to","Satisfaction","","","","satisfaction","",""
"Epic","AST — Assist","The AI helper, its seam, and its fallback","Assist","","","","assist","",""
"Story","PLT-1-ALL developer — the repository, its ignore rules and its branch conventions","*developer* — the repository, its ignore rules and its branch conventions

Story folder: .squad/stories/platform/PLT-1-ALL-repo-conventions/

Owns no rule of its own.

No dependency.","","Platform","3","Block 0","all","platform","developer"
"Story","PLT-2-API system — the schema, migrations that run once, and the four queue indexes","*system* — the schema, migrations that run once, and the four queue indexes

Story folder: .squad/stories/platform/PLT-2-API-schema-migrations/

Rules this story owns:
- BR-1 — Nothing is hard-deleted. Deletion sets deleted_at; the audit row survives.

Cannot ship before: PLT-1-ALL","","Platform","5","Block 0","api","platform","system"
"Story","PLT-3-API system — the chain: wiring, one error middleware, a request id, security headers","*system* — the chain: wiring, one error middleware, a request id, security headers

Story folder: .squad/stories/platform/PLT-3-API-request-chain/

Rules this story owns:
- E-1 — One shape, every failure, no stack trace.

Cannot ship before: PLT-2-API","","Platform","5","Block 0","api","platform","system"
"Story","PLT-4-API system — permission is decided in middleware before any service runs","*system* — permission is decided in middleware before any service runs

Story folder: .squad/stories/platform/PLT-4-API-permission-middleware/

Rules this story owns:
- SC-2 — Every rule is enforced in the API; no client enforces anything.

Cannot ship before: PLT-3-API","","Platform","5","Block 0","api","platform","system"
"Story","PLT-5-API client — every failure returns its documented code and one shape","*client* — every failure returns its documented code and one shape

Story folder: .squad/stories/platform/PLT-5-API-error-contract/

Rules this story owns:
- E-1 — One shape, every failure, no stack trace.
- E-2 — Every failure returns its documented code: 400 401 403 404 409 422 429 500 501.

Cannot ship before: PLT-3-API","","Platform","3","Block 0","api","platform","client"
"Story","PLT-6-API system — /api/v1, a maximum page size, health, and structured logging","*system* — /api/v1, a maximum page size, health, and structured logging

Story folder: .squad/stories/platform/PLT-6-API-api-versioning/

Rules this story owns:
- BR-4 — No unbounded list: paginated, filterable, sortable, with a maximum page size.

Cannot ship before: PLT-3-API","","Platform","3","Block 0","api","platform","system"
"Story","PLT-7-API system — an API document checked against the routes actually served","*system* — an API document checked against the routes actually served

Story folder: .squad/stories/platform/PLT-7-API-openapi-contract/

Owns no rule of its own.

Cannot ship before: PLT-6-API","","Platform","5","Block 0","api","platform","system"
"Story","PLT-8-API system — the seed fills reference data and can be run twice","*system* — the seed fills reference data and can be run twice

Story folder: .squad/stories/platform/PLT-8-API-seed-reference-data/

Rules this story owns:
- SC-3 — The demo database is generated; schema plus seed produces a working system.

Cannot ship before: PLT-2-API","","Platform","2","Block 0","api","platform","system"
"Story","PLT-9-WEB developer — a React skeleton: router, auth context, client, loading hook","*developer* — a React skeleton: router, auth context, client, loading hook

Story folder: .squad/stories/platform/PLT-9-WEB-react-skeleton/

Owns no rule of its own.

Cannot ship before: PLT-6-API","","Platform","5","Block 0","web","platform","developer"
