# story-keys.txt — which Jira key holds which story. Generated by
# scripts/story-keys.mjs from the tracker; never edited by hand.
#
# Cite a story as FULL-NAME (KEY) and take the key from here. backlog.txt
# has the ids and not the keys, so anything else is counting — which has
# already put the wrong key in two plans.

ASSIST-1-API CRM-147
ASSIST-2-API CRM-148
ASSIST-2-WEB CRM-149
ASSIST-3-API CRM-150
ASSIST-3-WEB CRM-151
ASSIST-4-API CRM-152
ASSIST-4-WEB CRM-153
AUDIT-1-API CRM-133
AUDIT-2-API CRM-134
AUDIT-2-WEB CRM-135
CHANNELS-1-API CRM-118
CHANNELS-2-API CRM-119
CHANNELS-3-API CRM-120
CONVERSATION-1-API CRM-99
CONVERSATION-1-MOB CRM-101
CONVERSATION-1-WEB CRM-100
CONVERSATION-2-API CRM-102
CONVERSATION-2-WEB CRM-103
CONVERSATION-3-API CRM-104
CONVERSATION-3-WEB CRM-105
CONVERSATION-4-API CRM-106
CONVERSATION-4-WEB CRM-107
CUSTOMERS-1-API CRM-55
CUSTOMERS-1-WEB CRM-56
CUSTOMERS-2-API CRM-57
CUSTOMERS-2-MOB CRM-59
CUSTOMERS-2-WEB CRM-58
CUSTOMERS-3-API CRM-60
CUSTOMERS-3-WEB CRM-61
CUSTOMERS-4-API CRM-62
CUSTOMERS-4-WEB CRM-63
CUSTOMERS-5-API CRM-64
CUSTOMERS-6-API CRM-65
CUSTOMERS-6-WEB CRM-66
CUSTOMERS-7-API CRM-67
CUSTOMERS-7-WEB CRM-68
CUSTOMERS-8-API CRM-69
CUSTOMERS-8-WEB CRM-70
IDENTITY-1-API CRM-41
IDENTITY-1-MOB CRM-43
IDENTITY-1-WEB CRM-42
IDENTITY-2-API CRM-44
IDENTITY-2-WEB CRM-45
IDENTITY-3-WEB CRM-46
IDENTITY-4-API CRM-47
IDENTITY-5-API CRM-48
IDENTITY-6-API CRM-49
IDENTITY-6-WEB CRM-50
IDENTITY-7-API CRM-51
IDENTITY-7-WEB CRM-52
IDENTITY-8-API CRM-53
IDENTITY-9-API CRM-54
KNOWLEDGE-BASE-1-API CRM-136
KNOWLEDGE-BASE-1-WEB CRM-137
KNOWLEDGE-BASE-2-API CRM-138
KNOWLEDGE-BASE-2-WEB CRM-139
KNOWLEDGE-BASE-3-WEB CRM-140
KNOWLEDGE-BASE-4-API CRM-141
KNOWLEDGE-BASE-4-WEB CRM-142
KNOWLEDGE-BASE-5-API CRM-143
LANGUAGES-1-MOB CRM-36
LANGUAGES-1-WEB CRM-35
LANGUAGES-2-MOB CRM-38
LANGUAGES-2-WEB CRM-37
LANGUAGES-3-WEB CRM-39
LANGUAGES-4-ALL CRM-40
NOTIFICATIONS-1-API CRM-115
NOTIFICATIONS-2-API CRM-116
NOTIFICATIONS-2-WEB CRM-117
PLATFORM-1-ALL CRM-16
PLATFORM-10-WEB CRM-25
PLATFORM-11-WEB CRM-26
PLATFORM-12-WEB CRM-27
PLATFORM-13-ALL CRM-28
PLATFORM-14-ALL CRM-29
PLATFORM-15-ALL CRM-30
PLATFORM-16-WEB CRM-31
PLATFORM-17-API CRM-32
PLATFORM-18-MOB CRM-33
PLATFORM-19-ALL CRM-34
PLATFORM-2-API CRM-17
PLATFORM-3-API CRM-18
PLATFORM-4-API CRM-19
PLATFORM-5-API CRM-20
PLATFORM-6-API CRM-21
PLATFORM-7-API CRM-22
PLATFORM-8-API CRM-23
PLATFORM-9-WEB CRM-24
PORTAL-1-WEB CRM-121
PORTAL-2-WEB CRM-122
PORTAL-3-WEB CRM-123
REPORTS-1-API CRM-124
REPORTS-1-WEB CRM-125
REPORTS-2-API CRM-126
REPORTS-2-WEB CRM-127
REPORTS-3-API CRM-128
REPORTS-3-WEB CRM-129
REPORTS-4-API CRM-130
REPORTS-4-WEB CRM-131
REPORTS-5-WEB CRM-132
SATISFACTION-1-API CRM-144
SATISFACTION-1-WEB CRM-145
SATISFACTION-2-API CRM-146
SERVICE-LEVELS-1-API CRM-108
SERVICE-LEVELS-2-API CRM-109
SERVICE-LEVELS-3-API CRM-110
SERVICE-LEVELS-3-MOB CRM-112
SERVICE-LEVELS-3-WEB CRM-111
SERVICE-LEVELS-4-API CRM-113
SERVICE-LEVELS-5-API CRM-114
TICKETS-1-API CRM-71
TICKETS-1-WEB CRM-72
TICKETS-10-API CRM-89
TICKETS-10-WEB CRM-90
TICKETS-11-API CRM-91
TICKETS-11-WEB CRM-92
TICKETS-12-WEB CRM-93
TICKETS-13-API CRM-94
TICKETS-13-WEB CRM-95
TICKETS-14-API CRM-96
TICKETS-15-API CRM-97
TICKETS-15-WEB CRM-98
TICKETS-2-API CRM-73
TICKETS-2-MOB CRM-75
TICKETS-2-WEB CRM-74
TICKETS-3-API CRM-76
TICKETS-3-MOB CRM-78
TICKETS-3-WEB CRM-77
TICKETS-4-API CRM-79
TICKETS-5-API CRM-80
TICKETS-5-WEB CRM-81
TICKETS-6-API CRM-82
TICKETS-7-API CRM-83
TICKETS-7-MOB CRM-85
TICKETS-7-WEB CRM-84
TICKETS-8-API CRM-86
TICKETS-9-API CRM-87
TICKETS-9-WEB CRM-88
